author_given	author_family	affiliation	DOI
Frank	Hopfgartner	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Suvodeep	Mazumdar	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Laura	Sbaffi	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Peter	Stordy	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Antonio	de la Vega de LeÃ³n	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Sarah	Dean	UC Berkeley	10.1145/3351095.3372866
Sarah	Rich	Canopy Crest	10.1145/3351095.3372866
Benjamin	Recht	UC Berkeley	10.1145/3351095.3372866
Orestis	Papakyriakopoulos	Technical University of Munich, Munich, Germany	10.1145/3351095.3372843
Simon	Hegelich	Technical University of Munich, Munich, Germany	10.1145/3351095.3372843
Juan Carlos Medina	Serrano	Technical University of Munich, Munich, Germany	10.1145/3351095.3372843
Fabienne	Marco	Technical University of Munich, Munich, Germany	10.1145/3351095.3372843
Javier	SÃ¡nchez-Monedero	Cardiff University, Cardiff, Wales, United Kingdom	10.1145/3351095.3372849
Lina	Dencik	Cardiff University, Cardiff, Wales, United Kingdom	10.1145/3351095.3372849
Lilian	Edwards	University of Newcastle, Newcastle upon Tyne, England, United Kingdom	10.1145/3351095.3372849
Manish	Raghavan	Cornell University	10.1145/3351095.3372828
Solon	Barocas	Microsoft Research and Cornell University	10.1145/3351095.3372828
Jon	Kleinberg	Cornell University	10.1145/3351095.3372828
Karen	Levy	Cornell University	10.1145/3351095.3372828
Kristian	Lum	Human Rights Data Analysis Group	10.1145/3351095.3372846
Chesa	Boudin	San Francisco Public Defender's Office	10.1145/3351095.3372846
Megan	Price	Human Rights Data Analysis Group	10.1145/3351095.3372846
Miranda	Bogen	Upturn	10.1145/3351095.3372877
Aaron	Rieke	Upturn	10.1145/3351095.3372877
Shazeda	Ahmed	University of California	10.1145/3351095.3372877
Alex	Hanna	N/A	10.1145/3351095.3372826
Emily	Denton	N/A	10.1145/3351095.3372826
Andrew	Smart	N/A	10.1145/3351095.3372826
Jamila	Smith-Loud	N/A	10.1145/3351095.3372826
Lily	Hu	Harvard University	10.1145/3351095.3375674
Issa	Kohler-Hausmann	Yale University	10.1145/3351095.3375674
Reuben	Binns	University of Oxford	10.1145/3351095.3372864
Alexander	D'Amour	Google Research	10.1145/3351095.3372878
Hansa	Srinivasan	Google Research	10.1145/3351095.3372878
James	Atwood	Google Research	10.1145/3351095.3372878
Pallavi	Baljekar	Google Research	10.1145/3351095.3372878
